Wilayah Jawa Barat,Bulan_Tahun,Tahun,Kelompok Pengeluaran IHK,IHK Value
Kota Sukabumi,July-2020,2020,"Rekreasi, Olahraga & Budaya",102.95
Kota Sukabumi,July-2020,2020,Pendidikan,109.49
Kota Sukabumi,July-2020,2020,Penyediaan Makanan & Minuman - Restoran,106.61
Kota Sukabumi,July-2020,2020,Perawatan Pribadi & Jasa Lainnya,110.76
Kota Sukabumi,June-2020,2020,Umum,105.02
Kota Sukabumi,June-2020,2020,"Makanan, Minuman & Tembakau",104.84
Kota Sukabumi,June-2020,2020,Pakaian & Alas Kaki,111.94
Kota Sukabumi,June-2020,2020,"Perumahan, Air, Listrik & Bahan Bakar Rumah Tangga",103.97
Kota Sukabumi,June-2020,2020,"Perlengkapan, Peralatan & Pemeliharaan Rutin Rumah Tangga",102.91
Kota Sukabumi,June-2020,2020,Kesehatan,103.34
Kota Sukabumi,June-2020,2020,Transportasi,103.35
Kota Sukabumi,June-2020,2020,"Informasi, Komunikasi & Jasa Keuangan",99.97
Kota Sukabumi,June-2020,2020,"Rekreasi, Olahraga & Budaya",102.82
Kota Sukabumi,June-2020,2020,Pendidikan,109.01
Kota Sukabumi,June-2020,2020,Penyediaan Makanan & Minuman - Restoran,106.56
Kota Sukabumi,June-2020,2020,Perawatan Pribadi & Jasa Lainnya,109.89
Kota Sukabumi,May-2020,2020,Umum,104.85
Kota Sukabumi,May-2020,2020,"Makanan, Minuman & Tembakau",104.35
Kota Sukabumi,May-2020,2020,Pakaian & Alas Kaki,111.93
Kota Sukabumi,May-2020,2020,"Perumahan, Air, Listrik & Bahan Bakar Rumah Tangga",103.97
Kota Sukabumi,May-2020,2020,"Perlengkapan, Peralatan & Pemeliharaan Rutin Rumah Tangga",102.85
Kota Sukabumi,May-2020,2020,Kesehatan,103.34
Kota Sukabumi,May-2020,2020,Transportasi,103.35
Kota Sukabumi,May-2020,2020,"Informasi, Komunikasi & Jasa Keuangan",100.05
Kota Sukabumi,May-2020,2020,"Rekreasi, Olahraga & Budaya",102.7
Kota Sukabumi,May-2020,2020,Pendidikan,109.01
Kota Sukabumi,May-2020,2020,Penyediaan Makanan & Minuman - Restoran,106.41
Kota Sukabumi,May-2020,2020,Perawatan Pribadi & Jasa Lainnya,109.76
Kota Sukabumi,April-2020,2020,Umum,104.82
Kota Sukabumi,April-2020,2020,"Makanan, Minuman & Tembakau",104.5
Kota Sukabumi,April-2020,2020,Pakaian & Alas Kaki,111.14
Kota Sukabumi,April-2020,2020,"Perumahan, Air, Listrik & Bahan Bakar Rumah Tangga",103.85
Kota Sukabumi,April-2020,2020,"Perlengkapan, Peralatan & Pemeliharaan Rutin Rumah Tangga",102.88
Kota Sukabumi,April-2020,2020,Kesehatan,103.34
Kota Sukabumi,April-2020,2020,Transportasi,103.35
Kota Sukabumi,April-2020,2020,"Informasi, Komunikasi & Jasa Keuangan",100.05
Kota Sukabumi,April-2020,2020,"Rekreasi, Olahraga & Budaya",102.7
Kota Sukabumi,April-2020,2020,Pendidikan,109.01
Kota Sukabumi,April-2020,2020,Penyediaan Makanan & Minuman - Restoran,106.41
Kota Sukabumi,April-2020,2020,Perawatan Pribadi & Jasa Lainnya,109.55
Kota Sukabumi,March-2020,2020,Umum,104.75
Kota Sukabumi,March-2020,2020,"Makanan, Minuman & Tembakau",104.38
Kota Sukabumi,March-2020,2020,Pakaian & Alas Kaki,111.14
Kota Sukabumi,March-2020,2020,"Perumahan, Air, Listrik & Bahan Bakar Rumah Tangga",103.74
