Wilayah Jawa Barat,Bulan_Tahun,Tahun,Kelompok Pengeluaran IHK,IHK Value
Kota Sukabumi,September-2017,2017,"Perumahan, Air, Listrik, Gas dan Bahan Bakar",123.52
Kota Sukabumi,September-2017,2017,Sandang,107.49
Kota Sukabumi,September-2017,2017,Kesehatan,121.87
Kota Sukabumi,September-2017,2017,"Pendidikan, Rekreasi dan Olah Raga",115.36
Kota Sukabumi,September-2017,2017,"Transpor, Komunikasi dan Jasa Keuangan",132.15
Kota Sukabumi,August-2017,2017,Umum,129.15
Kota Sukabumi,August-2017,2017,Bahan Makanan,135.36
Kota Sukabumi,August-2017,2017,"Makanan Jadi, Minuman, Rokok dan Tembakau",138.14
Kota Sukabumi,August-2017,2017,"Perumahan, Air, Listrik, Gas dan Bahan Bakar",123.65
Kota Sukabumi,August-2017,2017,Sandang,106.87
Kota Sukabumi,August-2017,2017,Kesehatan,121.73
Kota Sukabumi,August-2017,2017,"Pendidikan, Rekreasi dan Olah Raga",115.34
Kota Sukabumi,August-2017,2017,"Transpor, Komunikasi dan Jasa Keuangan",132.14
Kota Sukabumi,July-2017,2017,Umum,129.04
Kota Sukabumi,July-2017,2017,Bahan Makanan,135.04
Kota Sukabumi,July-2017,2017,"Makanan Jadi, Minuman, Rokok dan Tembakau",138.07
Kota Sukabumi,July-2017,2017,"Perumahan, Air, Listrik, Gas dan Bahan Bakar",123.7
Kota Sukabumi,July-2017,2017,Sandang,106.83
Kota Sukabumi,July-2017,2017,Kesehatan,121.66
Kota Sukabumi,July-2017,2017,"Pendidikan, Rekreasi dan Olah Raga",115.03
Kota Sukabumi,July-2017,2017,"Transpor, Komunikasi dan Jasa Keuangan",132.12
Kota Sukabumi,June-2017,2017,Umum,129.26
Kota Sukabumi,June-2017,2017,Bahan Makanan,136.3
Kota Sukabumi,June-2017,2017,"Makanan Jadi, Minuman, Rokok dan Tembakau",137.68
Kota Sukabumi,June-2017,2017,"Perumahan, Air, Listrik, Gas dan Bahan Bakar",123.82
Kota Sukabumi,June-2017,2017,Sandang,106.36
Kota Sukabumi,June-2017,2017,Kesehatan,121.27
Kota Sukabumi,June-2017,2017,"Pendidikan, Rekreasi dan Olah Raga",112.92
Kota Sukabumi,June-2017,2017,"Transpor, Komunikasi dan Jasa Keuangan",133.34
Kota Sukabumi,May-2017,2017,Umum,127.96
Kota Sukabumi,May-2017,2017,Bahan Makanan,134.46
Kota Sukabumi,May-2017,2017,"Makanan Jadi, Minuman, Rokok dan Tembakau",136.38
Kota Sukabumi,May-2017,2017,"Perumahan, Air, Listrik, Gas dan Bahan Bakar",122.46
Kota Sukabumi,May-2017,2017,Sandang,106.38
Kota Sukabumi,May-2017,2017,Kesehatan,120.25
Kota Sukabumi,May-2017,2017,"Pendidikan, Rekreasi dan Olah Raga",112.92
Kota Sukabumi,May-2017,2017,"Transpor, Komunikasi dan Jasa Keuangan",131.85
Kota Sukabumi,April-2017,2017,Umum,127.34
Kota Sukabumi,April-2017,2017,Bahan Makanan,132.94
Kota Sukabumi,April-2017,2017,"Makanan Jadi, Minuman, Rokok dan Tembakau",136.01
Kota Sukabumi,April-2017,2017,"Perumahan, Air, Listrik, Gas dan Bahan Bakar",121.77
